16:12:07 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 24 拼接成功，已更新最新帧数据
16:12:07 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 24 已成功拼接，准备显示
16:12:07 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 25，当前帧 24 已完成接收，尝试拼接上一帧
16:12:07 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 24 已接收完整，尝试拼接
16:12:07 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 24 拼接成功，已更新最新帧数据
16:12:07 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 25，总长度 22500 字节
16:12:09 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 25 已接收完整，尝试拼接
16:12:09 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 25 拼接成功，已更新最新帧数据
16:12:09 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 25 已成功拼接，准备显示
16:12:09 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 26，当前帧 25 已完成接收，尝试拼接上一帧
16:12:09 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 25 已接收完整，尝试拼接
16:12:09 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 25 拼接成功，已更新最新帧数据
16:12:09 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 26，总长度 22500 字节
16:12:11 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 26 已接收完整，尝试拼接
16:12:11 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 26 拼接成功，已更新最新帧数据
16:12:11 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 26 已成功拼接，准备显示
16:12:11 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 27，当前帧 26 已完成接收，尝试拼接上一帧
16:12:11 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 26 已接收完整，尝试拼接
16:12:11 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 26 拼接成功，已更新最新帧数据
16:12:11 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 27，总长度 22500 字节
16:12:12 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 27 已接收完整，尝试拼接
16:12:12 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 27 拼接成功，已更新最新帧数据
16:12:12 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 27 已成功拼接，准备显示
16:12:12 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 28，当前帧 27 已完成接收，尝试拼接上一帧
16:12:12 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 27 已接收完整，尝试拼接
16:12:12 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 27 拼接成功，已更新最新帧数据
16:12:12 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 28，总长度 22500 字节
16:12:14 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 28 已接收完整，尝试拼接
